"id","id_raw","Barcode","Barcode_raw","Nama Alat_raw","Nama Alat","Model Alat_raw","Model Alat","Serial Number","Serial Number_raw","Ruangan_raw","Ruangan","Foto Alat","Foto Alat_raw","user_raw","user","Standar Operasional Produk","Standar Operasional Produk_raw","User and Service Manual","User and Service Manual_raw","Status Alat","Status Alat_raw","Status Kalibrasi","Status Kalibrasi_raw","id_1","id_raw_1","Tanggal Kejadian","Tanggal Kejadian_raw","Kejadian","Kejadian_raw","Kategori","Kategori_raw","Teknisi_raw","Teknisi","Data Alat_raw","Data Alat","Foto Kondisi","Foto Kondisi_raw","id_2","id_raw_2","Tanggal Kalibrasi ","Tanggal Kalibrasi _raw","Nomor Label","Nomor Label_raw","Vendor","Vendor_raw","Scan / FC Sertifikat","Scan / FC Sertifikat_raw","Data Alat_raw_1","Data Alat_1"
"1","1","21018210000068","21018210000068","18","Refrigerator","1","Sanyo / Slim Beauty","-","-","2","Farmasi","/images/foto_alat/IMG_20180726_125912.jpg","/images/foto_alat/IMG_20180726_125912.jpg","390","Super User","","","","","Sedang Diperbaiki","Sedang Diperbaiki","Expired 226805","Expired 226805","1","1","13-12-2018","2018-12-13 09:06:00","","","Sedang Diperbaiki","servis","","    /    ","1","21018210000068    /    Refrigerator    /        /    Slim Beauty    /    -    /    -Farmasi","","","1","1","2018-07-27","2018-07-27 00:00:00","226805","226805","","","","","1","21018210000068    /    Refrigerator    /        /    Slim Beauty    /    -    /    -Farmasi"
"2","2","21018210000029","21018210000029","19","Slit Lamp","2","Haag Streit Diagnostic / BI 900","00554","00554","3","Gedung A Poliklinik","/images/foto_alat/IMG_20180724_182621_HHT.jpg","/images/foto_alat/IMG_20180724_182621_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238519","Expired 238519","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","2","2","2018-07-24","2018-07-24 00:00:00","238519","238519","","","","","2","21018210000029    /    Slit Lamp    /        /    BI 900    /    00554    /    -Gedung A Poliklinik"
"3","3","21018210000030","21018210000030","19","Slit Lamp","3","Haag Streit Diagnostic / BP 900","10577","10577","3","Gedung A Poliklinik","","","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238562","Expired 238562","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","3","3","2018-07-24","2018-07-24 00:00:00","238562","238562","","","","","3","21018210000030    /    Slit Lamp    /        /    BP 900    /    10577    /    -Gedung A Poliklinik"
"4","4","21018210000031","21018210000031","19","Slit Lamp","3","Haag Streit Diagnostic / BP 900","07977","07977","3","Gedung A Poliklinik","","","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238563","Expired 238563","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","4","4","2018-07-24","2018-07-24 00:00:00","238563","238563","","","","","4","21018210000031    /    Slit Lamp    /        /    BP 900    /    07977    /    -Gedung A Poliklinik"
"5","5","21018210000032","21018210000032","19","Slit Lamp","4","Shin Nippon / SL 500","2016-0896","2016-0896","3","Gedung A Poliklinik","","","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238564","Expired 238564","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","5","5","2018-07-24","2018-07-24 00:00:00","238564","238564","","","","","5","21018210000032    /    Slit Lamp    /        /    SL 500    /    2016-0896    /    -Gedung A Poliklinik"
"6","6","21018210000028","21018210000028","31","Tonometer Applanation","5","Kowa / KT-800","1534411312","1534411312","3","Gedung A Poliklinik","/images/foto_alat/IMG_20180724_181729_HHT.jpg","/images/foto_alat/IMG_20180724_181729_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238461","Expired 238461","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","6","6","2018-07-24","2018-07-24 00:00:00","238461","238461","","","","","6","21018210000028    /    Tonometer Applanation    /        /    KT-800    /    1534411312    /    -Gedung A Poliklinik"
"7","7","21018210000158","21018210000158","27","Tensimeter Mobile Digital","6","Erka / Erkameter E","164400603","164400603","3","Gedung A Poliklinik","/images/foto_alat/IMG_20180727_172019.jpg","/images/foto_alat/IMG_20180727_172019.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 226801","Expired 226801","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","7","7","2018-07-27","2018-07-27 00:00:00","226801","226801","","","","","7","21018210000158    /    Tensimeter Mobile Digital    /        /    Erkameter E    /    164400603    /    -Gedung A Poliklinik"
"8","8","21018210000038","21018210000038","13","Mobile Autorefrakto","7","Plusoptix / 12","1202A-01F-15172310","1202A-01F-15172310","4","Gedung B Poliklinik","/images/foto_alat/IMG_20180725_143606.jpg","/images/foto_alat/IMG_20180725_143606.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238471","Expired 238471","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","8","8","2018-07-25","2018-07-25 00:00:00","238471","238471","","","","","8","21018210000038    /    Mobile Autorefrakto    /        /    12    /    1202A-01F-15172310    /    -Gedung B Poliklinik"
"9","9","21018210000036","21018210000036","6","Chart Projector","8","Unicos / ACP 700","P7PJA7AC","P7PJA7AC","4","Gedung B Poliklinik","/images/foto_alat/IMG_20180725_140501.jpg","/images/foto_alat/IMG_20180725_140501.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238468","Expired 238468","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","9","9","2018-07-25","2018-07-25 00:00:00","238468","238468","","","","","9","21018210000036    /    Chart Projector    /        /    ACP 700    /    P7PJA7AC    /    -Gedung B Poliklinik"
"10","10","21018210000037","21018210000037","6","Chart Projector","9","Rightway / ACP-68","1523","1523","4","Gedung B Poliklinik","/images/foto_alat/IMG_20180725_140528.jpg","/images/foto_alat/IMG_20180725_140528.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238469","Expired 238469","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","10","10","2018-07-25","2018-07-25 00:00:00","238469","238469","","","","","10","21018210000037    /    Chart Projector    /        /    ACP-68    /    1523    /    -Gedung B Poliklinik"
"11","11","21018210000034","21018210000034","19","Slit Lamp","10","Shin Nippon / SL-500","2016-0892","2016-0892","4","Gedung B Poliklinik","/images/foto_alat/IMG_20180725_140717.jpg","/images/foto_alat/IMG_20180725_140717.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238466","Expired 238466","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","11","11","2018-07-25","2018-07-25 00:00:00","238466","238466","","","","","11","21018210000034    /    Slit Lamp    /        /    SL-500    /    2016-0892    /    -Gedung B Poliklinik"
"12","12","21018210000033","21018210000033","19","Slit Lamp","11","Takagi / SM-2N","1210058","1210058","4","Gedung B Poliklinik","/images/foto_alat/IMG_20180725_140648.jpg","/images/foto_alat/IMG_20180725_140648.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238465","Expired 238465","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","12","12","2018-07-25","2018-07-25 00:00:00","238465","238465","","","","","12","21018210000033    /    Slit Lamp    /        /    SM-2N    /    1210058    /    -Gedung B Poliklinik"
"13","13","21018210000035","21018210000035","19","Slit Lamp","12","Haag Streit Diganostic / BI 900","00555","00555","4","Gedung B Poliklinik","/images/foto_alat/IMG_20180725_140739.jpg","/images/foto_alat/IMG_20180725_140739.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238467","Expired 238467","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","13","13","2018-07-25","2018-07-25 00:00:00","238467","238467","","","","","13","21018210000035    /    Slit Lamp    /        /    BI 900    /    00555    /    -Gedung B Poliklinik"
"14","14","21018210000039","21018210000039","25","Tensi Air Raksa","13","Riester / Nova Pressameter","131252015","131252015","4","Gedung B Poliklinik","/images/foto_alat/IMG_20180725_143241.jpg","/images/foto_alat/IMG_20180725_143241.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238470","Expired 238470","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","14","14","2018-07-25","2018-07-25 00:00:00","238470","238470","","","","","14","21018210000039    /    Tensi Air Raksa    /        /    Nova Pressameter    /    131252015    /    -Gedung B Poliklinik"
"15","15","21018210000071","21018210000071","29","Timbangan Dewasa","14","Smic / ZT 120","-","-","5","Gedung B Ranap","/images/foto_alat/425e23cd-b877-40df-9e60-9ea6ea44e7b3.jpg","/images/foto_alat/425e23cd-b877-40df-9e60-9ea6ea44e7b3.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238550","Expired 238550","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","15","15","2018-07-27","2018-07-27 00:00:00","238550","238550","","","","","15","21018210000071    /    Timbangan Dewasa    /        /    ZT 120    /    -    /    -Gedung B Ranap"
"16","16","21018210000047","21018210000047","19","Slit Lamp","15","Takagi / SM-70N","0611830","0611830","6","Gedung C","/images/foto_alat/IMG_20180725_154145.jpg","/images/foto_alat/IMG_20180725_154145.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238473","Expired 238473","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","16","16","2018-07-25","2018-07-25 00:00:00","238473","238473","","","","","16","21018210000047    /    Slit Lamp    /        /    SM-70N    /    0611830    /    -Gedung C"
"17","17","21018210000050","21018210000050","6","Chart Projector","8","Unicos / ACP 700","P7PJA7CC","P7PJA7CC","7","Gedung C OK","/images/foto_alat/IMG_20180725_155116.jpg","/images/foto_alat/IMG_20180725_155116.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238475","Expired 238475","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","17","17","2018-07-25","2018-07-25 00:00:00","238475","238475","","","","","17","21018210000050    /    Chart Projector    /        /    ACP 700    /    P7PJA7CC    /    -Gedung C OK"
"18","18","21018210000019","21018210000019","1","AED","16","Science Cardiac / Powerheart AED G3","4485949","4485949","8","IGD","","","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238452","Expired 238452","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","18","18","2018-07-24","2018-07-24 00:00:00","238452","238452","","","","","18","21018210000019    /    AED    /        /    Powerheart AED G3    /    4485949    /    -IGD"
"19","19","21018210000015","21018210000015","19","Slit Lamp","17","Carl Zeiss / SL 115","1093810","1093810","8","IGD","/images/foto_alat/IMG_20180724_160054_HHT.jpg","/images/foto_alat/IMG_20180724_160054_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238518","Expired 238518","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","19","19","2018-07-24","2018-07-24 00:00:00","238518","238518","","","","","19","21018210000015    /    Slit Lamp    /        /    SL 115    /    1093810    /    -IGD"
"20","20","21018210000013","21018210000013","24","Tabung O2 ( Flowmeter )","18","Biomedix / -","-","-","8","IGD","/images/foto_alat/IMG_20180724_154901_HHT.jpg","/images/foto_alat/IMG_20180724_154901_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238448","Expired 238448","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","20","20","2018-07-24","2018-07-24 00:00:00","238448","238448","","","","","20","21018210000013    /    Tabung O2 ( Flowmeter )    /        /    -    /    -    /    -IGD"
"21","21","21018210000014","21018210000014","24","Tabung O2 ( Flowmeter )","19","- / -","-","-","8","IGD","/images/foto_alat/IMG_20180724_154925_HHT.jpg","/images/foto_alat/IMG_20180724_154925_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238449","Expired 238449","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","21","21","2018-07-24","2018-07-24 00:00:00","238449","238449","","","","","21","21018210000014    /    Tabung O2 ( Flowmeter )    /        /    -    /    -    /    -IGD"
"22","22","21018210000009","21018210000009","36","Vital Sign Monitor","20","Mindray / VS-600","FU-69007254","FU-69007254","8","IGD","/images/foto_alat/IMG_20180724_160024_HHT.jpg","/images/foto_alat/IMG_20180724_160024_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238444","Expired 238444","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","22","22","2018-07-24","2018-07-24 00:00:00","238444","238444","","","","","22","21018210000009    /    Vital Sign Monitor    /        /    VS-600    /    FU-69007254    /    -IGD"
"23","23","21018210000012","21018210000012","36","Vital Sign Monitor","20","Mindray / VS-600","FU-69007255","FU-69007255","8","IGD","/images/foto_alat/IMG_20180724_155958_HHT.jpg","/images/foto_alat/IMG_20180724_155958_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238446","Expired 238446","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","23","23","2018-07-24","2018-07-24 00:00:00","238446","238446","","","","","23","21018210000012    /    Vital Sign Monitor    /        /    VS-600    /    FU-69007255    /    -IGD"
"24","24","21018210000010","21018210000010","8","ECG Recorder","21","Axion / EK 3TC-3/6-04","CO51610113","CO51610113","8","IGD","/images/foto_alat/IMG_20180724_151512_HHT.jpg","/images/foto_alat/IMG_20180724_151512_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238443","Expired 238443","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","24","24","2018-07-24","2018-07-24 00:00:00","238443","238443","","","","","24","21018210000010    /    ECG Recorder    /        /    EK 3TC-3/6-04    /    CO51610113    /    -IGD"
"25","25","21018210000011","21018210000011","22","Suction Pump","22","GEA / YB DX 23 B","B.14.12.090","B.14.12.090","8","IGD","/images/foto_alat/IMG_20180724_160122_HHT.jpg","/images/foto_alat/IMG_20180724_160122_HHT.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238445","Expired 238445","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","25","25","2018-07-24","2018-07-24 00:00:00","238445","238445","","","","","25","21018210000011    /    Suction Pump    /        /    YB DX 23 B    /    B.14.12.090    /    -IGD"
"26","26","21018210000057","21018210000057","28","Termometer Badan","23","Beurer / FT65","-","-","8","IGD","/images/foto_alat/IMG_20180726_094826.jpg","/images/foto_alat/IMG_20180726_094826.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238524","Expired 238524","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","26","26","2018-07-25","2018-07-25 00:00:00","238524","238524","","","","","26","21018210000057    /    Termometer Badan    /        /    FT65    /    -    /    -IGD"
"27","27","21018210000016","21018210000016","27","Tensimeter Mobile Digital","6","Erka / Erkameter E","164400689","164400689","8","IGD","/images/foto_alat/IMG_20180727_172330.jpg","/images/foto_alat/IMG_20180727_172330.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238556","Expired 238556","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","27","27","2018-07-27","2018-07-27 00:00:00","238556","238556","","","","","27","21018210000016    /    Tensimeter Mobile Digital    /        /    Erkameter E    /    164400689    /    -IGD"
"28","28","21018210000017","21018210000017","27","Tensimeter Mobile Digital","6","Erka / Erkameter E","164400668","164400668","8","IGD","/images/foto_alat/IMG_20180727_172352.jpg","/images/foto_alat/IMG_20180727_172352.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238557","Expired 238557","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","28","28","2018-07-27","2018-07-27 00:00:00","238557","238557","","","","","28","21018210000017    /    Tensimeter Mobile Digital    /        /    Erkameter E    /    164400668    /    -IGD"
"29","29","21018210000018","21018210000018","27","Tensimeter Mobile Digital","6","Erka / Erkameter E","164400655","164400655","8","IGD","/images/foto_alat/IMG_20180727_172139.jpg","/images/foto_alat/IMG_20180727_172139.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238558","Expired 238558","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","29","29","2018-07-27","2018-07-27 00:00:00","238558","238558","","","","","29","21018210000018    /    Tensimeter Mobile Digital    /        /    Erkameter E    /    164400655    /    -IGD"
"30","30","21018210000160","21018210000160","29","Timbangan Dewasa","24","GEA / ZT 120","-","-","8","IGD","/images/foto_alat/dc7f6264-20e5-4595-926a-5212d3d4ed65.jpg","/images/foto_alat/dc7f6264-20e5-4595-926a-5212d3d4ed65.jpg","0","","","","","","Tidak Terupdate","Tidak Terupdate","Expired 238554","Expired 238554","","","","","","","","","","    /    ","","    /        /        /        /        /    -","","","30","30","2018-07-27","2018-07-27 00:00:00","238554","238554","","","","","30","21018210000160    /    Timbangan Dewasa    /        /    ZT 120    /    -    /    -IGD"
